# Time (s)
0.036166
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
158.08,156.52,156.52,156.52,156.52,284.52,284.52,1.32
# Profile Length
20035
# i,tseries,profile,index
421,-23.53999999999999915,11.73158835869637784,928
422,-23.76899999999999835,11.76074841159798368,929
423,-27.45799999999999841,11.77040560919816592,930
424,-32.41400000000000148,11.84035874116720066,931
425,-31.79700000000000060,11.96268413079392090,1467
426,-32.78099999999999881,11.94127699711876645,1468
427,-33.77199999999999847,11.96465216693058231,1469
428,-34.80299999999999727,12.00439931223539070,1470
429,-35.09799999999999898,12.05463192673130912,1471
430,-35.25500000000000256,12.28068832508954245,1471
431,-38.93399999999999750,12.59810479039180109,1472
432,-39.39800000000000324,12.61546321066159315,1473
433,-40.42199999999999704,12.72187958172064270,1474
434,-33.76899999999999835,13.11085196749656845,6893
435,-25.55799999999999983,13.13234813275208168,6894
436,-23.43299999999999983,13.15747996799985664,6895
437,-24.55699999999999861,13.20174692471348088,6896
438,-20.14900000000000091,13.26889280263497817,6897
439,-20.23900000000000077,13.23941200683743524,6898
440,-20.47100000000000009,13.14265384162832895,6899
441,-29.69500000000000028,13.10374633663278487,6900
442,-16.78800000000000026,13.15551479688723724,6901
443,-12.40799999999999947,13.16400707401516890,6902
444,-14.92999999999999972,13.13752108405928176,6903
445,-15.41499999999999915,13.14164166083000218,6904
446,-17.02700000000000102,13.14130224350213005,6905
447,-18.14900000000000091,13.11483336902206709,6906
448,-16.81899999999999906,13.10510077634602411,6907
449,-16.60300000000000153,13.10406480220185976,6908
450,-17.75499999999999901,13.10509386932606724,6909
451,-16.02700000000000102,13.10267236158758841,6910
452,-17.54200000000000159,13.12034674815408941,6911
453,-14.83300000000000018,13.08803534464412266,6912
454,-17.39900000000000091,13.09492070600895985,6913
455,-13.47600000000000087,13.08619594861272084,6914
456,-18.24099999999999966,13.05868722734984644,6915
457,-17.00100000000000122,12.97826680988034376,6916
458,-20.00499999999999901,12.88439269889306438,6917
459,-18.33200000000000074,12.75989346767997468,6918
460,-18.06700000000000017,12.95993701879028670,6919
461,-15.12500000000000000,12.98265477169091753,6920
462,-13.86200000000000010,12.97515444389197370,6921
463,-12.19400000000000084,12.99519056040209009,6922
464,-11.41200000000000081,13.02973944951084739,6923
465,-14.24600000000000044,13.04548924849365577,6924
466,-13.66799999999999926,13.06489287320332338,6925
467,-11.68599999999999994,13.02918345587420212,14650
468,-12.56600000000000072,12.89958042681628392,14651
469,-19.01599999999999824,12.77334800923275715,14652
470,-22.90899999999999892,12.76724303242916037,14653
471,-22.85999999999999943,12.86263969537542273,14654
472,-18.79599999999999937,12.90574164450112526,14655
473,-23.35099999999999909,12.87703241757599315,14656
474,-22.44699999999999918,12.89846844771338397,14657
475,-22.85699999999999932,12.89464871518816658,14658
476,-25.31800000000000139,12.89173033884382136,14659
477,-26.31899999999999906,12.80285141790313652,19503
478,-24.63400000000000034,12.53165366231772637,19504
479,-23.80099999999999838,12.46952038111114014,19505
480,-20.84799999999999898,12.78627151163267328,19506
481,-17.72400000000000020,12.82897885017503370,6940
482,-15.71199999999999974,12.79604072652492519,6941
483,-12.65799999999999947,12.78324935391687767,6942
484,-12.37400000000000055,12.79190525343175189,6943
485,-11.72000000000000064,12.81574362720480664,6944
486,-11.32699999999999996,12.82710314794377560,6945
